X	PHI
  -2.756	  -0.244
  -2.756	  -0.245
  -2.755	  -0.245
  -2.755	  -0.246
  -2.754	  -0.247
  -2.753	  -0.247
  -2.753	  -0.248
  -2.752	  -0.248
  -2.752	  -0.249
  -2.751	  -0.250
  -2.750	  -0.250
  -2.750	  -0.251
  -2.749	  -0.251
  -2.749	  -0.252
  -2.748	  -0.253
  -2.747	  -0.253
  -2.747	  -0.254
  -2.746	  -0.254
  -2.746	  -0.255
  -2.745	  -0.256
  -2.744	  -0.256
  -2.744	  -0.257
  -2.743	  -0.257
  -2.743	  -0.258
  -2.742	  -0.259
  -2.741	  -0.259
  -2.741	  -0.260
  -2.740	  -0.260
  -2.740	  -0.261
  -2.739	  -0.262
  -2.738	  -0.262
  -2.738	  -0.263
  -2.737	  -0.263
  -2.737	  -0.264
  -2.736	  -0.265
  -2.735	  -0.265
  -2.735	  -0.266
  -2.734	  -0.266
  -2.734	  -0.267
  -2.733	  -0.268
  -2.732	  -0.268
  -2.732	  -0.269
  -2.731	  -0.269
  -2.731	  -0.270
  -2.730	  -0.271
  -2.729	  -0.271
  -2.729	  -0.272
  -2.728	  -0.272
  -2.728	  -0.273
  -2.727	  -0.274
  -2.726	  -0.274
  -2.726	  -0.275
  -2.725	  -0.275
  -2.725	  -0.276
  -2.724	  -0.277
  -2.723	  -0.277
  -2.723	  -0.278
  -2.722	  -0.278
  -2.722	  -0.279
  -2.721	  -0.280
  -2.720	  -0.280
  -2.720	  -0.281
  -2.719	  -0.281
  -2.719	  -0.282
  -2.718	  -0.283
  -2.717	  -0.283
  -2.717	  -0.284
  -2.716	  -0.284
  -2.716	  -0.285
  -2.715	  -0.286
  -2.714	  -0.286
  -2.714	  -0.287
  -2.713	  -0.287
  -2.713	  -0.288
  -2.712	  -0.289
  -2.711	  -0.289
  -2.711	  -0.290
  -2.710	  -0.290
  -2.710	  -0.291
  -2.709	  -0.292
  -2.708	  -0.292
  -2.708	  -0.293
  -2.707	  -0.293
  -2.707	  -0.294
  -2.706	  -0.295
  -2.705	  -0.295
  -2.705	  -0.296
  -2.704	  -0.296
  -2.704	  -0.297
  -2.703	  -0.298
  -2.702	  -0.298
  -2.702	  -0.299
  -2.701	  -0.299
  -2.701	  -0.300
  -2.700	  -0.301
  -2.699	  -0.301
  -2.699	  -0.302
  -2.698	  -0.302
  -2.698	  -0.303
  -2.697	  -0.304
  -2.696	  -0.304
  -2.696	  -0.305
  -2.695	  -0.305
  -2.695	  -0.306
  -2.694	  -0.307
  -2.693	  -0.307
  -2.693	  -0.308
  -2.692	  -0.308
  -2.692	  -0.309
  -2.691	  -0.310
  -2.690	  -0.310
  -2.690	  -0.311
  -2.689	  -0.311
  -2.689	  -0.312
  -2.688	  -0.313
  -2.687	  -0.313
  -2.687	  -0.314
  -2.686	  -0.314
  -2.686	  -0.315
